user_id,end_week,is_dropout_point,spectral_agg,spectral_eucl,kmeans_flat,kmeans_eucl
388529,39,1,0,3,0,0
388529,53,0,0,1,0,0
388529,55,0,0,1,0,0
388529,63,0,0,1,0,0
388546,14,1,0,1,0,0
388551,24,0,0,1,0,0
388551,28,0,0,1,0,0
388563,36,1,0,3,0,0
388563,37,1,0,3,0,0
388563,41,1,0,1,0,0
388563,52,0,0,1,0,0
388568,12,1,0,1,0,0
388574,20,1,0,1,0,0
388580,11,1,0,0,1,2
388614,56,1,0,2,0,3
388614,60,1,0,0,0,2
388633,37,1,0,2,0,3
388639,23,0,0,1,0,0
388639,35,0,0,2,0,3
388643,11,1,0,1,0,0
388643,15,1,0,1,0,0
388643,20,0,0,1,0,0
388643,23,0,0,1,0,0
388653,19,0,0,1,0,0
388653,24,0,0,1,0,0
388682,22,0,0,1,0,0
388684,43,0,0,2,2,3
388686,23,0,0,1,0,0
388686,31,1,0,1,0,0
388687,16,1,0,0,0,2
388687,41,0,0,1,0,0
388689,39,0,0,2,0,3
388720,19,1,0,1,0,0
388720,28,1,0,1,0,0
388720,47,0,0,1,0,0
388746,11,1,0,0,0,2
388747,25,0,0,3,0,1
388753,34,1,0,3,0,1
388755,15,1,0,1,0,0
388760,13,1,0,1,0,0
388763,13,1,0,1,0,0
388763,16,1,0,1,0,0
388763,20,1,0,1,0,0
388765,14,1,0,1,0,0
388771,36,1,0,1,0,0
388772,18,1,0,3,0,1
388806,15,0,0,1,0,0
388961,44,0,0,2,0,0
388961,55,0,0,2,2,1
388962,24,1,0,2,0,3
388962,50,0,0,1,0,0
388962,57,0,0,1,0,0
388962,69,0,0,3,0,1
388963,34,1,0,2,0,3
388963,48,1,0,1,0,0
388963,72,0,0,2,0,3
388964,35,0,0,1,0,0
388964,52,0,0,1,0,0
388965,15,1,0,1,0,0
388965,32,1,0,0,0,2
388965,39,1,0,1,0,0
388968,64,0,0,2,0,3
388970,35,1,0,1,0,0
388970,69,0,0,3,0,1
388971,30,0,0,1,0,0
388971,35,0,0,1,0,0
388972,19,1,0,2,0,3
388973,31,0,0,1,0,0
388973,33,0,0,1,0,0
388974,18,0,0,1,0,0
388974,28,1,0,1,0,0
388975,18,1,0,1,0,0
388975,33,0,0,2,0,3
388976,45,1,0,0,0,0
388976,55,0,0,1,0,0
388976,66,0,0,2,0,3
388976,71,0,0,2,0,3
388977,25,1,0,2,0,3
388977,59,0,0,1,0,0
388978,35,0,0,1,0,0
388982,27,1,0,1,0,0
388982,65,0,0,1,0,0
388984,29,0,0,1,0,0
388985,15,1,0,1,0,0
388985,18,0,0,1,0,0
388985,41,1,0,1,0,0
388986,64,0,0,2,0,3
388988,44,0,0,2,0,3
388988,60,0,0,3,2,1
389012,14,1,0,1,0,0
389023,39,0,0,2,0,3
389045,11,0,0,0,1,2
389060,14,1,0,1,0,0
389060,39,0,0,1,0,0
389061,16,1,0,1,0,0
389061,17,1,0,1,0,0
389065,45,1,0,1,0,0
389115,14,0,0,2,2,1
389115,42,1,0,2,0,3
389115,69,0,0,3,0,1
389150,39,0,0,2,0,3
389150,73,1,0,1,0,0
389180,32,0,0,3,0,1
389182,17,1,0,1,0,0
389182,44,0,0,2,2,3
389187,33,0,0,1,0,0
389188,11,0,0,0,1,2
