user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,school_type,end_week,is_dropout_point,cluster_spectral_eucl,spectral_agg,kmeans_flat,kmeans_eucl,stage2_outcome,canton_top,engagement_score,engagement_level
394287,FEMALE,AG,Kurzzeitgymnasium,0,2,1,Secondary,Academic,52,0,0,0,1,0,0,AG,0.01874090491014639,Low
394293,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,32,1,3,0,1,3,1,SO,0.0553482587862277,High
394293,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,41,0,1,0,1,3,0,SO,0.0553482587862277,High
394293,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,54,0,1,0,1,3,0,SO,0.0553482587862277,High
394294,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,18,0,0,0,1,3,0,SO,0.06008791118912578,High
394294,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,32,1,3,0,1,3,1,SO,0.06008791118912578,High
394294,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,45,0,3,0,1,3,0,SO,0.06008791118912578,High
394294,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,66,0,1,0,1,1,0,SO,0.06008791118912578,High
394295,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,37,1,1,0,3,3,1,Unknown,0.07881484451770339,High
394295,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,66,0,3,0,0,3,0,Unknown,0.07881484451770339,High
394296,MALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,29,0,1,0,1,3,0,SO,0.0647339926782736,High
394297,MALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,14,1,2,0,0,2,1,SO,0.08098518431494914,High
394297,MALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,32,1,3,0,1,3,1,SO,0.08098518431494914,High
394297,MALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,33,1,3,0,1,3,1,SO,0.08098518431494914,High
394297,MALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,55,0,3,0,3,1,0,SO,0.08098518431494914,High
394299,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,47,0,3,0,1,3,0,SO,0.10213241204752818,High
394300,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,23,1,3,0,1,3,1,SO,0.04501619512191019,Medium
394301,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,16,0,0,0,1,0,0,SO,0.06799026486673332,High
394301,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,52,0,1,0,1,3,0,SO,0.06799026486673332,High
394301,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,56,1,3,0,1,3,1,SO,0.06799026486673332,High
394302,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,17,1,0,0,1,0,1,Unknown,0.020070783172859895,Low
394302,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,18,1,0,0,1,0,1,Unknown,0.020070783172859895,Low
394302,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,28,1,0,0,1,0,1,Unknown,0.020070783172859895,Low
394302,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,49,0,0,0,1,0,0,Unknown,0.020070783172859895,Low
394304,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,27,1,0,0,1,0,1,Unknown,0.01619458590044911,Low
394308,MALE,BL,Gymnasium,0,1,1,Secondary,Academic,43,0,0,0,1,0,0,BL,0.030114368512160226,Medium
394324,FEMALE,ZH,Kurzzeitgymnasium,0,3,1,Secondary,Academic,13,1,0,0,1,0,1,ZH,0.022511298712744314,Low
