user_id,came_back,cluster_all_k2,cluster_behavior_k2,cluster_behavior_k5,cluster_gmm_k5
389208,0,0,0,2,2
389209,0,0,0,0,0
389210,0,0,0,0,0
389212,0,0,0,0,0
389213,0,0,0,0,2
389222,0,0,0,0,1
389224,0,0,0,0,0
389226,0,0,0,0,0
389227,1,0,0,0,3
389229,1,0,0,0,0
389231,1,0,0,2,0
389234,1,0,0,4,0
389235,1,0,0,4,4
389236,1,0,0,4,4
389237,1,0,0,4,3
389238,1,0,0,0,0
389239,1,0,0,0,3
389240,1,0,0,4,4
389241,0,0,0,0,2
389244,1,0,0,2,0
389245,1,0,0,0,0
389246,1,1,1,2,2
389247,1,0,0,0,0
389248,0,0,0,4,3
389249,1,0,0,3,3
389250,1,0,0,4,4
389258,0,0,0,0,0
389262,1,0,0,4,0
389263,0,0,0,4,0
389264,0,0,0,0,0
389265,0,0,0,4,0
389266,1,0,0,4,4
389268,1,0,0,4,0
389270,0,0,0,0,1
389271,1,0,0,4,1
389272,1,0,0,4,0
389273,1,0,0,4,4
389275,1,0,0,0,0
389276,1,0,0,4,0
389278,1,0,0,0,0
389279,1,0,0,4,0
389284,1,1,1,1,1
389285,1,0,0,4,4
389290,0,0,0,2,2
389316,1,0,0,0,0
389317,1,0,0,0,0
389318,1,0,0,0,0
389319,1,0,0,0,0
389320,1,0,0,0,0
389321,1,0,0,0,3
389322,1,0,0,0,0
389323,1,0,0,0,0
389324,1,0,0,4,3
389325,1,0,0,0,3
389326,1,0,0,0,0
389327,1,0,0,0,0
389328,1,0,0,0,0
389329,1,0,0,0,0
389330,1,0,0,0,0
389331,1,0,0,0,0
389332,1,0,0,0,0
389333,1,0,0,0,0
389334,1,0,0,0,0
389335,1,0,0,0,0
389337,1,0,0,0,0
389338,1,0,0,0,0
389352,1,0,0,0,0
389354,1,0,0,4,0
389366,0,0,0,4,0
389367,1,0,0,0,0
389368,1,0,0,0,0
389369,1,0,0,3,3
389370,1,0,0,0,1
389372,1,0,0,0,0
389375,1,0,0,0,0
389379,0,0,0,0,0
389380,1,0,0,4,0
389386,1,0,0,0,2
389389,0,0,0,0,0
389391,1,0,0,2,1
389392,1,0,0,4,4
389393,1,1,1,2,2
389401,1,0,0,0,0
389402,0,0,0,0,0
389403,1,0,0,0,0
389404,1,0,0,0,3
389405,1,1,1,2,2
389407,1,0,0,0,0
389408,1,0,0,0,0
389409,1,0,0,0,0
389410,1,0,0,3,3
389411,1,0,0,2,2
389412,1,0,0,0,3
389413,1,0,0,0,0
389414,1,0,0,0,0
389415,1,0,0,0,3
389416,1,0,0,0,0
389417,1,0,0,0,3
389418,1,0,0,0,3
389419,1,0,0,0,0
389420,1,0,0,0,3
389421,1,0,0,0,0
389422,1,0,0,0,0
389423,1,0,0,0,0
389427,0,0,0,4,4
389428,0,0,0,4,4
389434,1,0,0,0,0
389441,0,0,0,0,0
389442,1,0,0,4,4
389443,0,0,0,0,1
389444,0,0,0,0,0
389445,0,0,0,0,0
389446,0,0,0,0,0
389447,0,0,0,0,0
389448,0,0,0,0,0
389449,1,0,0,0,0
389450,1,0,0,0,2
389451,0,0,0,0,0
389452,0,0,0,0,0
389453,0,0,0,0,0
389454,0,0,0,0,0
389455,0,0,0,0,0
389460,0,0,0,0,0
389462,1,0,0,0,0
389464,1,0,0,0,0
389467,1,0,0,4,3
389470,1,0,0,0,0
