user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,end_week,is_dropout_point,cluster_spectral,spectral_agg,kmeans_flat,kmeans_eucl,cluster_kmeans,stage2_outcome,engagement_score,engagement_level,school_type
387883,MALE,SG,Gymnasium,0,2,1,Secondary,21,0,3,0,3,1,3,0,766.0,High,Academic
387883,MALE,SG,Gymnasium,0,2,1,Secondary,36,0,1,0,1,3,1,0,135.0,Medium,Academic
387883,MALE,SG,Gymnasium,0,2,1,Secondary,40,0,3,0,1,3,3,0,140.0,Medium,Academic
387883,MALE,SG,Gymnasium,0,2,1,Secondary,46,0,1,0,1,3,1,0,78.0,Medium,Academic
387885,Other,SG,Gymnasium,0,2,1,Secondary,23,0,1,0,3,1,1,0,180.0,High,Academic
387887,MALE,SG,Gymnasium,0,2,1,Secondary,39,0,3,0,1,3,3,0,95.0,Medium,Academic
387889,FEMALE,SG,Gymnasium,0,2,1,Secondary,36,0,1,0,1,3,1,0,75.0,Medium,Academic
387889,FEMALE,SG,Gymnasium,0,2,1,Secondary,44,0,1,0,3,1,1,0,50.0,Low,Academic
387889,FEMALE,SG,Gymnasium,0,2,1,Secondary,47,0,3,0,2,1,3,0,287.0,High,Academic
387892,FEMALE,SG,Gymnasium,0,2,1,Secondary,38,0,3,0,0,1,3,0,109.0,Medium,Academic
387892,FEMALE,SG,Gymnasium,0,2,1,Secondary,48,0,1,0,0,1,1,0,105.0,Medium,Academic
387919,MALE,SG,Gymnasium,0,2,1,Secondary,49,0,3,0,2,1,3,0,201.0,High,Academic
387919,MALE,SG,Gymnasium,0,2,1,Secondary,53,1,3,0,2,1,3,1,128.0,Medium,Academic
387919,MALE,SG,Gymnasium,0,2,1,Secondary,58,1,1,0,0,1,1,1,129.0,Medium,Academic
387926,MALE,SG,Gymnasium,1,2,1,Secondary,18,1,0,0,1,0,0,1,140.0,Medium,Academic
387927,FEMALE,SG,Gymnasium,1,2,1,Secondary,63,0,0,0,1,0,0,0,166.0,Medium,Academic
387928,MALE,SG,Gymnasium,0,2,1,Secondary,36,1,2,0,0,2,2,1,62.0,Low,Academic
387928,MALE,SG,Gymnasium,0,2,1,Secondary,41,1,1,0,1,3,1,1,136.0,Medium,Academic
387929,MALE,SG,Gymnasium,0,1,1,Secondary,31,0,1,0,1,1,1,0,64.0,Low,Academic
387930,MALE,SG,Gymnasium,1,2,1,Secondary,38,0,3,0,3,1,3,0,52.0,Low,Academic
387931,MALE,SG,Gymnasium,1,2,1,Secondary,39,0,3,0,3,1,3,0,39.0,Low,Academic
387931,MALE,SG,Gymnasium,1,2,1,Secondary,43,0,3,0,3,1,3,0,92.0,Medium,Academic
387931,MALE,SG,Gymnasium,1,2,1,Secondary,50,1,1,0,0,1,1,1,53.0,Low,Academic
387931,MALE,SG,Gymnasium,1,2,1,Secondary,60,0,0,0,1,0,0,0,51.0,Low,Academic
387931,MALE,SG,Gymnasium,1,2,1,Secondary,61,0,0,0,1,0,0,0,41.0,Low,Academic
387932,MALE,SG,Gymnasium,1,2,1,Secondary,55,0,2,0,1,2,2,0,53.0,Low,Academic
387933,FEMALE,SG,Gymnasium,1,2,1,Secondary,27,0,3,0,1,3,3,0,42.0,Low,Academic
387933,FEMALE,SG,Gymnasium,1,2,1,Secondary,45,0,1,0,3,1,1,0,46.0,Low,Academic
387934,FEMALE,SG,Gymnasium,1,2,1,Secondary,31,0,3,0,3,3,3,0,86.0,Medium,Academic
387934,FEMALE,SG,Gymnasium,1,2,1,Secondary,43,0,3,0,3,1,3,0,82.0,Medium,Academic
387935,FEMALE,SG,Gymnasium,1,2,1,Secondary,13,1,0,0,1,0,0,1,29.0,Low,Academic
387935,FEMALE,SG,Gymnasium,1,2,1,Secondary,49,1,1,0,1,3,1,1,50.0,Low,Academic
387936,MALE,SG,Gymnasium,1,2,1,Secondary,57,0,0,0,1,0,0,0,52.0,Low,Academic
387936,MALE,SG,Gymnasium,1,2,1,Secondary,70,0,0,0,1,0,0,0,29.0,Low,Academic
387937,FEMALE,SG,Gymnasium,1,2,1,Secondary,15,1,0,0,1,0,0,1,59.0,Low,Academic
387937,FEMALE,SG,Gymnasium,1,2,1,Secondary,21,0,0,0,1,0,0,0,34.0,Low,Academic
387937,FEMALE,SG,Gymnasium,1,2,1,Secondary,23,0,0,0,1,0,0,0,53.0,Low,Academic
387938,FEMALE,SG,Gymnasium,1,2,1,Secondary,14,1,0,0,1,0,0,1,52.0,Low,Academic
387938,FEMALE,SG,Gymnasium,1,2,1,Secondary,25,0,0,0,1,3,0,0,57.0,Low,Academic
387938,FEMALE,SG,Gymnasium,1,2,1,Secondary,52,1,2,0,0,2,2,1,85.0,Medium,Academic
387939,MALE,SG,Gymnasium,1,2,1,Secondary,22,0,0,0,1,0,0,0,29.0,Low,Academic
387939,MALE,SG,Gymnasium,1,2,1,Secondary,52,1,2,0,0,2,2,1,42.0,Low,Academic
387940,FEMALE,SG,Gymnasium,1,2,1,Secondary,21,0,0,0,1,0,0,0,11.0,Low,Academic
387940,FEMALE,SG,Gymnasium,1,2,1,Secondary,23,0,0,0,1,0,0,0,77.0,Medium,Academic
387940,FEMALE,SG,Gymnasium,1,2,1,Secondary,70,0,0,0,1,0,0,0,186.0,High,Academic
387941,FEMALE,SG,Gymnasium,1,2,1,Secondary,50,0,1,0,0,1,1,0,84.0,Medium,Academic
387941,FEMALE,SG,Gymnasium,1,2,1,Secondary,63,0,0,0,1,0,0,0,23.0,Low,Academic
387942,MALE,SG,Gymnasium,1,2,1,Secondary,13,1,0,0,1,0,0,1,48.0,Low,Academic
387942,MALE,SG,Gymnasium,1,2,1,Secondary,14,1,0,0,1,0,0,1,55.0,Low,Academic
387942,MALE,SG,Gymnasium,1,2,1,Secondary,22,0,0,0,1,0,0,0,304.0,High,Academic
387943,FEMALE,SG,Gymnasium,1,2,1,Secondary,27,0,3,0,1,3,3,0,77.0,Medium,Academic
387943,FEMALE,SG,Gymnasium,1,2,1,Secondary,31,0,3,0,3,3,3,0,78.0,Medium,Academic
387945,MALE,SG,Gymnasium,1,2,1,Secondary,13,1,0,0,1,0,0,1,70.0,Medium,Academic
387945,MALE,SG,Gymnasium,1,2,1,Secondary,14,1,0,0,1,0,0,1,45.0,Low,Academic
387945,MALE,SG,Gymnasium,1,2,1,Secondary,44,1,1,0,3,1,1,1,30.0,Low,Academic
387945,MALE,SG,Gymnasium,1,2,1,Secondary,59,0,0,0,1,0,0,0,70.0,Medium,Academic
387947,FEMALE,SG,Gymnasium,0,2,1,Secondary,35,1,1,0,1,3,1,1,4.0,Low,Academic
387948,MALE,SG,Gymnasium,1,2,1,Secondary,45,0,0,0,1,0,0,0,44.0,Low,Academic
387950,FEMALE,SG,Gymnasium,1,2,1,Secondary,12,0,0,0,1,0,0,0,59.0,Low,Academic
387950,FEMALE,SG,Gymnasium,1,2,1,Secondary,35,0,3,0,3,1,3,0,45.0,Low,Academic
387950,FEMALE,SG,Gymnasium,1,2,1,Secondary,49,1,2,0,0,2,2,1,15.0,Low,Academic
388020,Unknown,Unknown,Unknown,0,0,1,Unknown,29,0,0,0,1,3,0,0,486.0,High,Other
388020,Unknown,Unknown,Unknown,0,0,1,Unknown,32,0,0,0,1,0,0,0,8.0,Low,Other
388020,Unknown,Unknown,Unknown,0,0,1,Unknown,52,0,0,0,1,0,0,0,76.0,Medium,Other
388020,Unknown,Unknown,Unknown,0,0,1,Unknown,56,0,0,0,1,0,0,0,28.0,Low,Other
388026,Unknown,Unknown,Unknown,0,0,1,Unknown,43,1,0,0,1,0,0,1,112.0,Medium,Other
388028,Unknown,Unknown,Unknown,0,0,1,Unknown,19,0,3,0,1,3,3,0,60.0,Low,Other
388030,FEMALE,SG,Gymnasium,0,2,1,Secondary,12,1,0,0,1,0,0,1,118.0,Medium,Academic
388031,Unknown,Unknown,Unknown,0,0,1,Unknown,21,1,0,0,1,0,0,1,92.0,Medium,Other
388031,Unknown,Unknown,Unknown,0,0,1,Unknown,33,1,0,0,1,3,0,1,146.0,Medium,Other
388045,FEMALE,SG,Gymnasium,0,2,1,Secondary,24,0,1,0,3,1,1,0,1.0,Low,Academic
